cycle,layer_name,layer_type,layer_power_including_idle_power_micro_watt,layer_power_excluding_idle_power_micro_watt,layer_run_time
15966,_feat_conv1,Conv2d,,,0.06784000247716904
15966,_feat_conv2,Conv2d,,,0.07209599763154984
15966,_classifer_fc1,Linear,,,0.024607999250292778
15966,_classifer_fc2,Linear,,,0.016256000846624374
15966,_classifer_fc3,Linear,,,0.016127999871969223
15967,_feat_conv1,Conv2d,,,0.06883200258016586
15967,_feat_conv2,Conv2d,,,0.069023996591568
15967,_classifer_fc1,Linear,,,0.02409599907696247
15967,_classifer_fc2,Linear,,,0.0161920003592968
15967,_classifer_fc3,Linear,,,0.016607999801635742
15968,_feat_conv1,Conv2d,,,0.06931199878454208
15968,_feat_conv2,Conv2d,,,0.07436800003051758
15968,_classifer_fc1,Linear,,,0.024191999807953835
15968,_classifer_fc2,Linear,,,0.0163199994713068
