cycle,layer_name,layer_type,layer_power_including_idle_power_micro_watt,layer_power_excluding_idle_power_micro_watt,layer_run_time
15889,_feat_conv1,Conv2d,,,0.06880000233650208
15889,_feat_conv2,Conv2d,,,0.07836800068616867
15889,_classifer_fc1,Linear,,,0.02396799996495247
15889,_classifer_fc2,Linear,,,0.01616000011563301
15889,_classifer_fc3,Linear,,,0.012671999633312225
15890,_feat_conv1,Conv2d,,,0.06726399809122086
15890,_feat_conv2,Conv2d,,,0.07817599922418594
15890,_classifer_fc1,Linear,,,0.02393599972128868
15890,_classifer_fc2,Linear,,,0.0161920003592968
15890,_classifer_fc3,Linear,,,0.012959999963641167
15891,_feat_conv1,Conv2d,,,0.06604799628257751
15891,_feat_conv2,Conv2d,,,0.07264000177383423
15891,_classifer_fc1,Linear,,,0.024191999807953835
15891,_classifer_fc2,Linear,,,0.016224000602960587
15891,_classifer_fc3,Linear,,,0.01283199992030859
15892,_feat_conv1,Conv2d,,,0.06838399916887283
15892,_feat_conv2,Conv2d,,,0.07420799881219864
15892,_classifer_fc1,Linear,,,0.024447999894618988
15892,_classifer_fc2,Linear,,,0.0161920003592968
15892,_classifer_fc3,Linear,,,0.012640000320971012
15893,_feat_conv1,Conv2d,,,0.06905599683523178
15893,_feat_conv2,Conv2d,,,0.07519999891519547
15893,_classifer_fc1,Linear,,,0.024032000452280045
15893,_classifer_fc2,Linear,,,0.016287999227643013
15893,_classifer_fc3,Linear,,,0.013120000250637531
15894,_feat_conv1,Conv2d,,,0.06918399780988693
15894,_feat_conv2,Conv2d,,,0.07840000092983246
15894,_classifer_fc1,Linear,,,0.024351999163627625
15894,_classifer_fc2,Linear,,,0.0161920003592968
15894,_classifer_fc3,Linear,,,0.012640000320971012
15895,_feat_conv1,Conv2d,,,0.06809599697589874
15895,_feat_conv2,Conv2d,,,0.07548800110816956
15895,_classifer_fc1,Linear,,,0.024191999807953835
15895,_classifer_fc2,Linear,,,0.016256000846624374
15895,_classifer_fc3,Linear,,,0.013024000450968742
15896,_feat_conv1,Conv2d,,,0.06831999868154526
15896,_feat_conv2,Conv2d,,,0.07820799946784973
15896,_classifer_fc1,Linear,,,0.024191999807953835
15896,_classifer_fc2,Linear,,,0.016095999628305435
15896,_classifer_fc3,Linear,,,0.012608000077307224
15897,_feat_conv1,Conv2d,,,0.06982400268316269
15897,_feat_conv2,Conv2d,,,0.0783040001988411
15897,_classifer_fc1,Linear,,,0.02393599972128868
15897,_classifer_fc2,Linear,,,0.016287999227643013
15897,_classifer_fc3,Linear,,,0.01664000004529953
15898,_feat_conv1,Conv2d,,,0.06966400146484375
15898,_feat_conv2,Conv2d,,,0.07369600236415863
15898,_classifer_fc1,Linear,,,0.024480000138282776
15898,_classifer_fc2,Linear,,,0.0161920003592968
15898,_classifer_fc3,Linear,,,0.012736000120639801
15899,_feat_conv1,Conv2d,,,0.0687360018491745
15899,_feat_conv2,Conv2d,,,0.06918399780988693
15899,_classifer_fc1,Linear,,,0.024064000695943832
15899,_classifer_fc2,Linear,,,0.016287999227643013
15899,_classifer_fc3,Linear,,,0.016448000445961952
15900,_feat_conv1,Conv2d,,,0.06835199892520905
15900,_feat_conv2,Conv2d,,,0.07353600114583969
15900,_classifer_fc1,Linear,,,0.024671999737620354
15900,_classifer_fc2,Linear,,,0.016224000602960587
15900,_classifer_fc3,Linear,,,0.016063999384641647
15901,_feat_conv1,Conv2d,,,0.06911999732255936
15901,_feat_conv2,Conv2d,,,0.07718399912118912
15901,_classifer_fc1,Linear,,,0.024064000695943832
15901,_classifer_fc2,Linear,,,0.016256000846624374
15901,_classifer_fc3,Linear,,,0.016575999557971954
15902,_feat_conv1,Conv2d,,,0.06943999975919724
15902,_feat_conv2,Conv2d,,,0.07116799801588058
15902,_classifer_fc1,Linear,,,0.024032000452280045
15902,_classifer_fc2,Linear,,,0.016256000846624374
15902,_classifer_fc3,Linear,,,0.01651199907064438
15903,_feat_conv1,Conv2d,,,0.06800000369548798
15903,_feat_conv2,Conv2d,,,0.0729919970035553
